brand,model,category,size,storage,color,price,source,webpage,condition,date,article_number,reviews_count,rating,camera_MP,delivery_time
SAMSUNG,Galaxy S24 ,Smartphone,6.2,128 GB,Amber Yellow,749.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220730.html,new,2024-04-15,2220730,(295),4.5,50 MP,Auslieferung in 1-2 Werktagen
SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,128 GB,Awesome Lemon,429.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237052.html,new,2024-04-15,2237052,(0),,50 MP,Auslieferung in 1-4 Werktagen
SAMSUNG,Galaxy A35 5G ,Smartphone,6.6,128 GB,Awesome Lemon,359.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237048.html,new,2024-04-15,2237048,(0),,50 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
SAMSUNG,Galaxy S24+ ,Smartphone,6.7,512 GB,Cobalt Violet,1149.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220717.html,new,2024-04-15,2220717,(210),4.5,50 MP,Auslieferung in 1-2 Werktagen
XIAOMI,Redmi Note 13 4G ,Smartphone,6.67,256 GB,Mint Green,222.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220889.html,new,2024-04-15,2220889,(0),,108 MP,Auslieferung in bis zu 7 Werktagen
SAMSUNG,Galaxy Z Fold5 ,Smartphone,7.6,512 GB,Icy Blue,1800.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-fold5-2193025.html,new,2024-04-15,2193025,(49),4.3,50 MP,Auslieferung in bis zu 10 Werktagen
SAMSUNG,Galaxy Z Flip5 ,Smartphone,6.7,512 GB,Mint,1003.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip5-2193036.html,new,2024-04-15,2193036,(57),4.6,12 MP,Auslieferung in 1-2 Werktagen
NOKIA,G22 ,Smartphone,6.52,64 GB,Meteor Grey,159.95,mediamarkt,https://www.mediamarkt.ch/de/product/_nokia-g22-2175509.html,new,2024-04-15,2175509,(0),,50 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
APPLE,iPhone 14 Plus ,Smartphone,6.7,256 GB,"256 GB, (PRODUCT)RED",829.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151048.html,new,2024-04-15,2151048,,5.0,12 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
XIAOMI,13T Pro ,Smartphone,6.67,1 TB,Alpine Blue,893.,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-13t-pro-2203278.html,new,2024-04-15,2203278,(0),,50 MP,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
SAMSUNG,Galaxy S23 FE ,Smartphone,6.4,256 GB,Cream,629.,mediamarkt,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-fe-2216491.html,new,2024-04-15,2216491,(2),3.0,50 MP,Auslieferung in 1-2 Werktagen
XIAOMI,13T ,Smartphone,6.67,256 GB,Black,551.,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-13t-2203283.html,new,2024-04-15,2203283,(8),4.5,50 MP,Auslieferung in bis zu 7 Werktagen
